"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"
"DX_LordVortech_YourCriesWillEchoForever","All","Subtitle","Lord Vortech: Your cries will echo forever!","Lord Vortech: Your cries will echo forever!","Lord Vortech : Vos pleurs résonneront à perpétuité¬!","Lord Vortech: Eure Schreie werden auf ewig forthallen!","Jeres skrig vil gjalde for evigt!","Lord Vortech : Vos pleurs résonneront à perpétuité¬!","Lord Vortech: Je geschreeuw zal voor eeuwig weerklinken.","Lord Vortech: ¡Sus gritos se escucharán para siempre!"
"DX_Wyldstyle_SauronCanThrowA","All","Subtitle","Wyldstyle: Sauron can throw a school bus but I'M the one who's gonna take HIM to school! That kinda sounded better in my head...","Wyldstyle: Sauron can throw a school bus but I'M the one who's gonna take HIM to school! That kinda sounded better in my head...","Cool Tag : Sauron peut nous jeter des bus scolaires, mais c'est MOI qui vais lui donner un cours magistral¬! OK, ça sonnait mieux dans ma tête...","Wyldstyle: Sauron kann zwar einen Schulbus werfen, aber jetzt bring ich ... ihm mal was bei ... äh... Das klang in meinem Kopf irgendwie besser¬...","Sauron kan kaste med skolebusser, men her er det mig, der er læreren! Det lød faktisk bedre inde i mit hoved.","Wyldstyle : Sauron peut nous jeter des bus scolaires, mais c'est MOI qui vais lui donner un cours magistral¬! OK, ça sonnait mieux dans ma tête...","Wyldstyle: Sauron kan een schoolbus gooien, maar ik leer hem een lesje. Dat klonk cooler in mijn gedachten.","Estilo-libre: ¡Sauron puede lanzar un autobús escolar, pero yo lo llevaré a la escuela! Sonaba mejor en mi cabeza..."
"DX_Wyldstyle_IfWeKeepWinning","All","Subtitle","Wyldstyle: If we keep winning we'll be one step closer to the token.","Wyldstyle: If we keep winning we'll be one step closer to the token.","Cool Tag : Si on enchaîne les victoires, on finira par décrocher le jeton.","Wyldstyle: Wenn wir weiter gewinnen, sind wir einen Schritt näher an der Münze!","Hvis vi vinder igen, kommer vi tættere på at vinde poletten.","Wyldstyle : Si on enchaîne les victoires, on finira par décrocher le jeton.","Wyldstyle: Als we blijven winnen, komen we steeds dichter bij de munt.","Estilo-libre: Si seguimos ganando, estaremos un paso más cerca de la ficha."
"DX_3rdDoctor_CourageIsntJust","All","Subtitle","3rd Doctor: Courage isn't just a matter of not being frightened, you know. It's being afraid and doing what you have to do anyway.","3rd Doctor: Courage isn't just a matter of not being frightened, you know. It's being afraid and doing what you have to do anyway.","3e Docteur : Le courage ce n'est pas une question de n'pas avoir peur, vous savez. C'est avoir peur et faire ce qu'on a à faire malgré tout.","3. Doktor: Mut bedeutet nicht bloß, keine Angst zu haben - es bedeutet Angst zu haben und zu tun, was getan werden muss.","Mod er ikke blot et spørgsmål om ikke at være bange forstår du, det handler om at være bange og alligevel gøre hvad du skal.","3e Docteur : Le courage ce n'est pas une question de n'pas avoir peur, vous savez. C'est avoir peur et faire ce qu'on a à faire malgré tout.","Derde Doctor: Moed is niet alleen een kwestie van bang zijn. Het is bang zijn en dan toch doen wat je moet doen.","Tercer Doctor: ¿Sabes? El valor no es solo cuestión de no estar asustado. Es estarlo y hacer lo que debes de todas formas."
"DX_Benny_Spaceship","All","Subtitle","Benny: Spaceship? Spaceship! SPACESHIP!","Benny: Spaceship? Spaceship! SPACESHIP!","Benny : Vaisseau spatial¬? Vaisseau spatial¬! VAISSEAU SPATIAL¬!","Benny: Raumschiff? Raumschiff. RAUMSCHIFF!","Rumskib? Rumskib? RUMSKIB!","Benny : Vaisseau spatial¬? Vaisseau spatial¬! VAISSEAU SPATIAL¬!","Benny: Ruimteschip? Ruimteschip! Ruimteschip!","Benny: ¿Nave? ¡Nave! ¡¡¡Nave!!!"
"DX_DocEmmetBrown_iNeedToGet","All","Subtitle","Doc Emmett Brown: I need to get back to my OWN time before something TERRIBLE happens.","Doc Emmett Brown: I need to get back to my OWN time before something TERRIBLE happens.","Doc Emmett Brown : Je dois retourner à ma PROPRE époque, sinon quelque chose de TERRIBLE va se produire.","Doc Emmett Brown: Ich brauche mehr als einen Fusionsgenerator um dieses Rätsel zu lösen.","Jeg må hjem til min egen tid, før der sker noget forfærdeligt.","Doc Emmett Brown : Je dois retourner à ma PROPRE époque, sinon quelque chose de TERRIBLE va se produire.","Doc Emmett Brown: Ik moet terug naar mijn eigen tijd voordat er iets vreselijks gebeurt.","Doc Emmett Brown: Debo volver a mi propio tiempo antes de que suceda algo terrible."
"DX_Gollum_WhereIsIt","All","Subtitle","Gollum: Where is it? Where is the Precious? Gollum!","Gollum: Where is it? Where is the Precious? Gollum!","Gollum : Où est il¬? Où est le Précieux¬? Gollum¬!","Gollum: Wo ist er? Wo ist der Schatz? Gollum!","Hvor er den? Hvor er min dyrebare? *Gollum*","Gollum : Où est il¬? Où est le Précieux¬? Gollum¬!","Gollem: Waar is het? Waar is de lieveling? Gollem!","Gollum: ¿Dónde está? ¿Dónde está el precioso? ¡Gollum!"
"DX_KidGamer_SoIsItShellOr","All","Subtitle","Gamer Kid: So is it shell or CHELL...ok, the silent type I guess.","Gamer Kid: So is it shell or CHELL...ok, the silent type I guess.","Gamin ''gamer'' : Et Shell, ça s'écrit avec un C, ou un S¬?... Mmmh, pas bavarde, hein...","Zocker: Heißt du jetzt Shell oder Chell? ... Na gut, eher der ruhige Typ, was?","Så hedder du shell eller chell? Nå, du er vist den stille type.","Gamin ''gamer'' : Et Shell, ça s'écrit avec un C, ou un S¬?... Mmmh, pas bavarde, hein...","Gamerkind: Is het Shell of Chell? Jij bent duidelijk het zwijgzame type.","Niño Jugador: ¿Se escribe ''Shell'' o ''Chell''? ... Parece que no hablas mucho."
"DX_MartyMcfly_NowWhereAmIMan","All","Subtitle","Marty McFly: Now where am I? Man, I can't keep up!","Marty McFly: Now where am I? Man, I can't keep up!","Marty McFly : Bon, j'suis où, là¬? J'arrive plus à suivre¬!","Marty McFly: Wo bin ich denn jetzt? Ich verlier den Überblick!","Nå, hvor er jeg? Mand, jeg kan ikke følge med.","Marty McFly : Bon, j'suis où, là¬? J'arrive plus à suivre¬!","Marty McFly: Waar ben ik? Ik hou het niet bij!","Marty McFly: ¿Y ahora dónde estoy? No puedo seguir así."
"DX_Slimer_Screaming2","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_WickedWitch_IllMakeGoodUse","All","Subtitle","Wicked Witch: I'll make good use of this! Ngyahahaha!","Wicked Witch: I'll make good use of this! Ngyahahaha!","Méchante Sorcière : Je sais ce que je vais en faire¬! Ouah ha ha ha ha¬!","Böse Hexe: Das werde ich zu nutzen wissen! Hahahaha!","Jeg vil gøre god brug af den her. Ngyahahaha!","Wicked Witch : Je sais ce que je vais en faire¬! Ouah ha ha ha ha¬!","Boze heks: Hier weet ik wel raad mee!","Bruja Mala: ¡Le daré un buen uso a esto! ¡Mua, ja, ja, ja!"
"CS_Batman_ImNotAnActualBat","All","Subtitle","Batman: I'm not an actual bat, Gandalf!","Batman: I'm not an actual bat, Gandalf!","Batman : Je ne suis pas une vraie chauve-souris, Gandalf¬!","Batman: Ich bin keine echte Fledermaus, Gandalf!","Jeg kan ikke flyve rigtigt, Gandalf.","Batman : Je ne suis pas une vraie chauve-souris, Gandalf¬!","Batman: Ik ben geen echte vleermuis, Gandalf!","Batman: ¡No soy un murciélago real, Gandalf!"
"CS_Gandalf_BaradDur","All","Subtitle","Gandalf: Barad-dûr!","Gandalf: Barad-dûr!","Gandalf : Barad-dûr¬!","Gandalf: Barad-dûr!","Barad-dûr!","Gandalf : Barad-dûr¬!","Gandalf: Barad-dûr!","Gandalf: ¡Barad-dûr!"
"CS_Wyldstyle_Thanks2","All","Subtitle","Wyldstyle: Yeh, thanks.","Wyldstyle: Yeh, thanks.","Cool Tag : Merci¬!","Wyldstyle: Ach danke!","Tak.","Wyldstyle : Merci¬!","Wyldstyle: Ja, bedankt.","Estilo-libre: Gracias."
"CS_UCC_UhYouFoundIt","All","Subtitle","Unknown Cubic Creature: Uh... you found it?","Unknown Cubic Creature: Uh... you found it?","Créature cubique inconnue : Heu... *vous* l'avez trouvée¬?","Kubuswesen: Äh ... IHR habt das?","Øh ... fandt du den?","Créature cubique inconnue : Heu... *vous* l'avez trouvée¬?","Onbekend kubuswezen: Jij hebt het gevonden?","Criatura cúbica desconocida: Eh... ¿la encontraste?"
"SCOOBY_QUEST01","All","Game","Mappy Trails","Mappy Trails","Traînées à la carte","Der Weg zum Schatz","Korte ruter","Traînées à la carte","Spoorzoeken","Rastros de mapa"
"DX_EXPO_PressTheHornIconToZ","All","Subtitle","X-PO: Press the icon to change how the horn sound.","X-PO: Press the icon to change how the horn sound.","X-PO : Appuyez sur l'icône pour modifier le bruit du klaxon.","X-PO: Drücke auf das Symbol, um das Hupsignal zu ändern.","Tryk på ikonet for at ændre lyden af hornet.","X-PO : Appuyez sur l'icône pour modifier le bruit du klaxon.","X-PO: Druk op het icoontje voor een ander claxongeluid.","X-PO: Presiona el ícono para cambiar la bocina."
"SPIDER_RIDEON","All","Char","Aragog","Aragog","Aragog","Aragog","Aragog","Aragog","Aragog","Aragog"
"INCREASEDGROUNDSPEEDBY25_NAME","All","LegoAPI","Movement Speed Buff 1","Movement Speed Buff 1","As de la vitesse 1","Modellgeschwindigkeits-Bonus 1","Bevægelseshastigheds buff 1","As de la vitesse 1","Snelheidvoordeel 1","Potenciador de velocidad de desplazamiento 1"
"HUB_LEGOMOVIE","All","Game","The LEGO Movie World","The LEGO Movie World","La Grande aventure LEGO","Welt: The LEGO Movie","LEGO filmen-verdenen","The LEGO Movie","De LEGO Film-wereld","Mundo de La Gran Aventura LEGO"
"DX_WizardOfOz_MyBalloonHas","All","Subtitle","Wizard of Oz: My balloon has been attacked by this tree. Can anyone help me down?","Wizard of Oz: My balloon has been attacked by this tree. Can anyone help me down?","Magicien d'Oz : Mon ballon s'est fait attaquer par cet arbre. Vous m'aidez à descendre¬?","Zauberer von Oz: Mein Ballon wurde von diesem Baum angegriffen. Könnt ihr mir runterhelfen?","Min ballon blev angrebet af det her træ. Kan du hjælpe mig ned?","Wizard of Oz : Mon ballon s'est fait attaquer par cet arbre. Vous m'aidez à descendre¬?","Tovenaar van Oz: Mijn ballon is aangevallen door deze boom. Kun je me omlaag helpen?","Mago de Oz: Mi globo se quedó atascado en el árbol. ¿Me ayudas a bajarlo?"
"RepairSignPresent","All","Game","Restore the present-day Hill Valley sign?","Restore the present-day Hill Valley sign?","Restaurer le panneau d'Hill Valley du présent¬?","Hill-Valley-Schild der Gegenwart wiederaufbauen?","Reparer fremtidens Hill Valley skilt?","Restaurer le panneau d'Hill Valley du présent¬?","Het bord van Hill Valley in het heden herstellen?","¿Restaurar el cartel de Hill Valley del presente?"
"LEVEL_10RETROGAMESA","All","Level","Defender","Defender","Defender","Defender","Forsvarer","Defender","Verdediger","Defender"
"PORTAL_QUEST02_ACT_PAGE1","All","Game","Well? Go on! I know you're dying to say it! I can see it in your eyes. You want to say, ''I TOLD you, Wheatley. I SAID you were too hard on those poor little mutant boxes, whose only ever crime was trying to make their daddy proud. And now they've run away from home, each of 'em hiding GLaD-knows-where, scared and alone in some dark, dingy corner of the lab.''","Well? Go on! I know you're dying to say it! I can see it in your eyes. You want to say, ''I TOLD you, Wheatley. I SAID you were too hard on those poor little mutant boxes, whose only ever crime was trying to make their daddy proud. And now they've run away from home, each of 'em hiding GLaD-knows-where, scared and alone in some dark, dingy corner of the lab.''","Wheatley : Alors¬? Allez-y¬! Dites-le, je sais que vous en mourez d'envie¬! Dites¬: ''Je vous avais PRÉVENU, Wheatley. Je SAVAIS que vous étiez trop sévère avec ces pauvres petites boîtes mutantes dont le seul crime était de vouloir impressionner leur papa. Résultat, elles ont fugué pour se réfugier GLaD-sait-où, seules et mortes de peur dans des recoins sombres du labo.''","Na? Mach ruhig! Ich weiß, du willst es sagen. Ich seh es dir doch an! Sag: „Ich hab's dir doch gesagt, Wheatley, ich hab dir gesagt, du bist mit deinen kleinen Mutantenwürfeln zu hart umgesprungen, sie wollten doch nur ihren Papa stolz machen und jetzt sind sie alle GLaD-weiß-wo verängstigt und allein in irgendeiner dunklen, schmutzigen Ecke des Labors.“!","Nå? Kom så! Jeg ved, at du brænder efter at sige det. Jeg kan se det i dine øjne. Sig, ''Jeg SAGDE det jo, Wheatley. Jeg SAGDE jo, at du var for hård ved de små mutantkasser, hvis eneste forbrydelse var, at de ville imponere deres farmand. Og nu er de stukket af hjemmefra og gemmer sig, GLaDOS må vide hvor, skræmte og alene i et mørkt laboratorium.''","Wheatley : Alors¬? Allez-y¬! Dites-le, je sais que vous en mourez d'envie¬! Dites¬: ''Je vous avais PRÉVENU, Wheatley. Je SAVAIS que vous étiez trop sévère avec ces pauvres petites boîtes mutantes dont le seul crime était de vouloir impressionner leur papa. Résultat, elles ont fugué pour se réfugier GLaD-sait-où, seules et mortes de peur dans des recoins sombres du labo.''","En? Toe maar! Ik weet dat je staat te trappelen om het te zeggen! Ik zie het in je ogen. Je wilt zeggen: ''Ik ZEI het toch, Wheatley. Ik ZEI toch dat je te hard was voor die arme kleine mutantendozen, die alleen maar wilden dat hun papa trots op ze was. En nu zijn ze weggelopen van huis. Ze verstoppen zich ik-weet-niet-waar, bang en alleen in een donker, vies hoekje van het lab.''","¿Bien? ¡Vamos! ¡Sé que te mueres por decirlo! Lo veo en tus ojos, quieres decir: ''Te lo dije, Wheatley. Dije que fuiste muy duro con estas pobres cajitas mutantes, cuyo único crimen fue hacer orgulloso a su papi. Ahora huyeron de casa, escondidas en GlaDOS sabe dónde, asustadas y solas en algún rincón oscuro y sucio de este laboratorio''."
"TI_RAINBOWLEGO","All","LegoAPI","Rainbow LEGO Ability","Rainbow LEGO Ability","Capacité : Briques LEGO arc-en-ciel","Fähigkeit „LEGO-Regenbogen“","Regnbue LEGO-evne","Capacité : Briques LEGO arc-en-ciel","Regenboog-LEGO","Habilidad de arcoíris LEGO"
"BTTF_QUEST00_COM_PAGE2","All","Game","Thank you for finding him! I hope he didn't cause you too much trouble. Here, take THIS for your help!","Thank you for finding him! I hope he didn't cause you too much trouble. Here, take THIS for your help!","Doc Brown : Merci beaucoup de l'avoir retrouvé¬! J'espère qu'il ne vous a pas donné trop de fil à retordre. Tenez, prennez ça pour la peine.","Danke, dass du ihn gefunden hast! Ich hoffe, er hat dir nicht zu viel Ärger bereitet. Hier, nimm das als Lohn für deine Hilfe!","Tak fordi du fandt ham! Jeg håber ikke at han gav dig for meget besvær. Her, tag DENNE HER som tak for hjælpen!","Doc Brown : Merci beaucoup de l'avoir retrouvé¬! J'espère qu'il ne vous a pas donné trop de fil à retordre. Tenez, prennez ça pour la peine.","Bedankt dat je hem hebt gevonden! Ik hoop dat hij je niet te veel problemen heeft bezorgd. Alsjeblieft, DIT is voor je hulp!","Gracias por encontrarlo, espero que no te haya causado mucho problema. Mira, ¡toma esto por tu ayuda!"
"HINT_GAUNTLET_STUDS","All","Hint","LOSE STUDS WHEN HEALTH = 0","LOSE STUDS WHEN HEALTH = 0","PERDEZ DES PIÈCES LORSQUE QUE VOTRE SANTÉ = 0","VERLIER STEINCHEN WENN GESUNDHEIT = 0","DU MISTER STEN NÅR DIT HELBRED = 0","PERDEZ DES PIÈCES LORSQUE QUE VOTRE SANTÉ = 0","JE RAAKT NOPPEN KWIJT ALS JE GEZONDHEID O IS.","PIERDES PIEZAS CUANDO TU SALUD = 0."
"DX_LordVortech_iCommandYouToMove","All","Subtitle","Suspicious Mummy: I command you to move!","Suspicious Mummy: I command you to move!","Momie suspecte : Je vous ordonne de bouger¬!","Verdächtige Mumie: Ich befehle dir: bewege dich!","Jeg befaler dig at flytte dig!","Momie suspecte : Je vous ordonne de bouger¬!","Verdachte mummie: Ik beveel je van me af te gaan.","Lord Vortech: ¡Ordeno que te muevas!"
"DX_LordVortech_YourDisobediance","All","Subtitle","Lord Vortech: Your disobedience only angers me further!","Lord Vortech: Your disobedience only angers me further!","Lord Vortech : Votre culot me met encore plus en colère¬!","Lord Vortech: Euer Widerstand macht mich bloß noch wütender!","Når I nægter at adlyde, bliver jeg bare endnu mere vred!","Lord Vortech : Votre culot me met encore plus en colère¬!","Lord Vortech: Jullie ongehoorzaamheid maakt me nog bozer.","Lord Vortech: ¡Su desobediencia solo me enfurece más!"
"DX_Wyldstyle_ThatGiantRobot_EDIT","All","Subtitle","Wyldstyle: That giant robot seems to have some sort of device on its shoulder.","Wyldstyle: That giant robot seems to have some sort of device on its shoulder.","Cool Tag : On dirait que ce robot géant a une sorte de machine sur l'épaule.","Wyldstyle: Dieser Riesenroboter hat irgendeinen Appareat auf der Schulter.","Den kæmperobot har et eller andet apparat siddende på brystet.","Wyldstyle : On dirait que ce robot géant a une sorte de machine sur l'épaule.","Wyldstyle: Die gigantische robot heeft een apparaat op zijn schouder.","Estilo-libre: Al parecer, ese robot gigante tiene un dispositivo en el hombro."
